ID,Station Name,Status,Available Bikes,Available Docks,Time Added
149,Calumet Ave & 33rd St,In Service,6,5,2013-08-16 21:39:01.0
150,Fort Dearborn Dr & 31st St,In Service,5,6,2013-08-16 21:39:01.0
152,Lincoln Ave & Diversey Pkwy,In Service,6,9,2013-08-16 21:39:01.0
153,Southport Ave & Wellington Ave,In Service,8,11,2013-08-16 21:39:01.0
154,Southport Ave & Belmont Ave,In Service,5,10,2013-08-16 21:39:01.0
156,Clark St & Wellington Ave,In Service,2,13,2013-08-16 21:39:01.0
157,Lake Shore Dr & Wellington Ave,In Service,2,13,2013-08-16 21:39:01.0
158,Milwaukee Ave & Wabansia Ave,In Service,7,8,2013-08-16 21:39:01.0
159,Claremont Ave & Hirsch St,In Service,4,7,2013-08-16 21:39:01.0
160,Campbell Ave & North Ave,In Service,6,9,2013-08-16 21:39:01.0
162,Damen Ave & Wellington Ave,In Service,6,9,2013-08-16 21:39:01.0
163,Paulina St & Diversey Pkwy,In Service,8,7,2013-08-16 21:39:01.0
164,Franklin St & Lake St,In Service,5,18,2013-08-16 21:39:01.0
165,Clark St & Waveland Ave,In Service,5,14,2013-08-16 21:39:01.0
166,Ashland Ave & Wrightwood Ave,In Service,9,6,2013-08-16 21:39:01.0
167,Damen Ave & Coulter St,In Service,3,8,2013-08-16 21:39:01.0
168,Michigan Ave & 14th St,In Service,7,12,2013-08-16 21:39:01.0
169,Canal St & Harrison St,In Service,7,8,2013-08-16 21:39:01.0
170,Clinton St & 18th St,In Service,5,10,2013-08-16 21:39:01.0
171,May St & Cullerton St,In Service,2,9,2013-08-16 21:39:01.0
173,Mies van der Rohe Way & Chicago Ave,In Service,6,9,2013-08-16 21:39:01.0
174,Canal St & Madison St,In Service,22,1,2013-08-16 21:39:01.0
175,Wells St & Polk St,In Service,8,11,2013-08-16 21:39:01.0
176,Clark St & Elm St,In Service,10,9,2013-08-16 21:39:01.0
177,Theater on the Lake,In Service,5,10,2013-08-16 21:39:01.0
178,State St & 19th St,In Service,4,11,2013-08-16 21:39:01.0
179,Martin Luther King Dr & Oakwood Blvd,In Service,5,10,2013-08-16 21:39:01.0
181,LaSalle St & Illinois St,In Service,13,6,2013-08-16 21:39:01.0
183,Damen Ave & Augusta Blvd,In Service,7,8,2013-08-16 21:39:01.0
184,State St & 35th St,In Service,3,16,2013-08-16 21:39:01.0
185,Stave St & Armitage Ave,In Service,5,6,2013-08-16 21:39:01.0
186,Ogden Ave & Race Ave,In Service,5,10,2013-08-16 21:39:01.0
188,Greenview Ave & Fullerton Ave,In Service,6,9,2013-08-16 21:39:01.0
190,Southport Ave & Wrightwood Ave,In Service,7,8,2013-08-16 21:39:01.0
191,Canal St & Monroe St,In Service,4,19,2013-08-16 21:39:01.0
192,Canal St & Adams St,In Service,8,18,2013-08-16 21:39:01.0
193,State St & 29th St,In Service,4,11,2013-08-23 12:58:01.0
194,State St & Wacker Dr,In Service,1,10,2013-08-16 21:39:01.0
195,Columbus Dr & Randolph St,In Service,8,15,2013-08-16 21:39:01.0
196,Cityfront Plaza & N Water St,In Service,6,13,2013-08-16 21:39:01.0
197,Michigan Ave & Madison St,In Service,5,14,2013-08-16 21:39:01.0
198,Halsted St & Madison St,In Service,9,10,2013-08-16 21:39:01.0
199,Wabash Ave & Grand Ave,In Service,7,8,2013-08-16 21:39:01.0
200,King Dr & 47th St,In Service,3,8,2013-08-16 21:39:01.0
201,Indiana Ave & 40th St,In Service,4,11,2013-08-16 21:39:01.0
202,Halsted St & 18th St,In Service,4,11,2013-08-16 21:39:01.0
203,Western Ave & 21st St,In Service,6,9,2013-08-16 21:39:01.0
204,Prairie Ave & Garfield Blvd,In Service,8,7,2013-08-16 21:39:01.0
205,Paulina St & 18th St,In Service,1,14,2013-08-16 21:39:01.0
206,Halsted St & Archer Ave,In Service,4,11,2013-08-16 21:39:01.0
207,Emerald Ave & 28th St,In Service,6,9,2013-08-16 21:39:01.0
208,Ashland Ave & 21st St,In Service,5,10,2013-08-16 21:39:01.0
209,Normal Ave & Archer Ave,In Service,3,8,2013-08-16 21:39:01.0
210,Ashland Ave & Division St,In Service,8,11,2013-08-16 21:39:01.0
211,St Clair St & Erie St,In Service,6,13,2013-08-16 21:39:01.0
212,Wells St & Ohio St,In Service,6,13,2013-08-16 21:39:01.0
213,Leavitt St & North Ave,In Service,8,3,2013-08-16 21:39:01.0
214,Damen Ave & Grand Ave,In Service,3,12,2013-08-16 21:39:01.0
215,Damen Ave & Madison St,In Service,4,11,2013-08-16 21:39:01.0
216,California Ave & Division St,In Service,4,11,2013-08-16 21:39:01.0
217,May St & Fulton St,In Service,2,13,2013-08-16 21:39:01.0
218,Wells St & 19th St,In Service,6,5,2013-08-23 12:38:01.0
219,Damen Ave & Cortland St,In Service,4,7,2013-08-20 12:19:01.0
220,Hampden Ct & Diversey Pkwy,In Service,8,11,2013-08-19 20:48:01.0
222,Milwaukee Ave & Rockwell St,In Service,4,14,2013-08-23 00:15:01.0
223,Clifton Ave & Armitage Ave,In Service,3,12,2013-08-23 00:15:01.0
224,Halsted St & Willow St,In Service,6,13,2013-08-23 00:15:01.0
225,Halsted St & Dickens Ave,In Service,7,8,2013-08-19 20:48:01.0
226,Racine Ave & Belmont Ave,In Service,7,8,2013-08-19 20:48:01.0
227,Southport Ave & Waveland Ave,In Service,5,10,2013-08-20 13:59:01.0
228,Damen Ave & Melrose Ave,In Service,7,4,2013-08-20 13:06:01.0
229,Southport Ave & Roscoe St,In Service,6,13,2013-08-30 04:23:01.0
230,Lincoln Ave & Roscoe St,In Service,8,11,2013-08-20 13:51:01.0
231,Sheridan Rd & Montrose Ave,In Service,5,10,2013-08-20 16:46:02.0
232,Pine Grove Ave & Addison St,In Service,7,8,2013-08-21 15:13:01.0
233,Sangamon St & Washington Blvd,In Service,4,11,2013-08-30 04:23:01.0
234,Clark St & Montrose Ave,In Service,1,18,2013-08-20 16:24:01.0
236,Sedgwick St & Schiller St,In Service,7,8,2013-08-21 13:23:01.0
237,Martin Luther King Dr & 29th St,In Service,4,11,2013-08-21 12:47:01.0
238,Ravenswood Ave & Montrose Ave,In Service,5,10,2013-08-23 00:15:01.0
239,Western Ave & Leland Ave,In Service,6,9,2013-08-21 16:16:01.0
240,Sheridan Rd & Irving Park Rd,In Service,4,7,2013-08-21 17:39:01.0
241,Morgan St & Polk St,In Service,8,7,2013-08-23 00:15:01.0
242,Damen Ave & Leland Ave,In Service,4,11,2013-08-23 00:15:01.0
243,Lincoln Ave & Leavitt St,In Service,5,10,2013-08-21 16:46:01.0
244,Ravenswood Ave & Irving Park Rd,In Service,9,10,2013-08-23 00:15:01.0
245,Clarendon Ave & Junior Ter,In Service,5,10,2013-08-27 02:44:01.0
246,Ashland Ave & Belle Plaine Ave,In Service,3,8,2013-08-27 02:44:01.0
247,Shore Drive & 55th St,In Service,8,7,2013-08-23 14:30:01.0
248,Woodlawn Ave & 55th St,In Service,8,7,2013-08-23 13:41:01.0
249,Montrose Harbor,In Service,7,8,2013-08-27 02:44:01.0
250,Ashland Ave & Wellington Ave,In Service,6,13,2013-08-27 02:44:01.0
251,Clarendon Ave & Leland Ave,In Service,5,9,2013-08-27 02:44:01.0
252,Greenwood Ave & 47th St,In Service,5,10,2013-08-28 03:24:02.0
253,Clifton Ave & Lawrence Ave,In Service,9,6,2013-09-08 10:36:01.0
254,Pine Grove Ave & Irving Park Rd,In Service,8,7,2013-09-09 13:30:01.0
255,Indiana Ave & Roosevelt Rd,In Service,10,21,2013-09-05 11:18:02.0
256,Broadway & Sheridan Rd,In Service,4,11,2013-09-05 15:42:01.0
257,Lincoln Ave & Waveland Ave,In Service,5,10,2013-09-09 13:30:01.0
258,Logan Blvd & Elston Ave,In Service,15,4,2013-09-09 15:34:01.0
259,California Ave & Francis Pl,In Service,6,9,2013-09-12 18:01:01.0
260,Kedzie Ave & Milwaukee Ave,In Service,6,13,2013-09-17 10:57:01.0
261,Hermitage Ave & Polk St,In Service,4,11,2013-09-05 13:25:01.0
262,Halsted St & 37th St,In Service,3,8,2013-10-01 13:49:01.0
263,Rhodes Ave & 32nd St,In Service,3,8,2013-09-17 14:54:01.0
264,Stetson Ave & South Water St,In Service,12,7,2013-09-18 22:14:02.0
265,Cottage Grove Ave & Oakwood Blvd,In Service,6,9,2013-09-17 13:32:02.0
267,Lake Park Ave & 47th St,In Service,5,10,2013-09-17 12:48:01.0
268,Lake Shore Dr & North Blvd,In Service,6,9,2013-09-12 16:04:01.0
271,Cottage Grove Ave & 43rd St,In Service,5,6,2013-09-12 11:40:01.0
272,Indiana Ave & 31st St,In Service,3,8,2013-09-12 11:07:01.0
273,Michigan Ave & 18th St,In Service,4,11,2013-09-12 12:15:01.0
274,Racine Ave & 15th St,In Service,5,10,2013-09-12 12:48:01.0
275,Ashland Ave & 13th St,In Service,5,10,2013-09-12 13:31:01.0
276,California Ave & North Ave,In Service,2,9,2013-09-12 17:47:01.0
